2c2
< Original*,gmail.com,172.217.17.69,2a00:1450:400e:804::2005,alt1.gmail-smtp-in.l.google.com,ns1.google.com,United States,1995-08-13,2019-07-11,
---
> Original*,gmail.com,216.58.211.101,2a00:1450:400e:80d::2005,alt1.gmail-smtp-in.l.google.com,ns1.google.com,United States,1995-08-13,2019-07-11,
6c6
< Addition,gmaild.com,103.224.182.207,,,,Australia,,,
---
> Addition,gmaild.com,103.224.182.207,,park-mx.above.com,ns1.above.com,Australia,2015-07-23,2019-06-02,
8c8
< Addition,gmailf.com,162.222.213.199,,,ns1.quokkadns.com,United States,2008-10-16,2019-11-07,
---
> Addition,gmailf.com,95.211.75.16,,,ns1.bookadns.com,Netherlands,2008-10-16,2019-11-07,
10d9
< Addition,gmailh.com,,,,,,,,
12c11
< Addition,gmailj.com,69.162.80.56,,,ns1.hastydns.com,United States,2009-03-20,2020-01-01,
---
> Addition,gmailj.com,95.211.219.66,,,ns1.hastydns.com,Netherlands,2009-03-20,2020-01-01,
26d24
< Addition,gmailx.com,,,,,,,,
31c29
< Bitsquatting,cmail.com,69.172.201.153,,mx247.in-mx.com,ns1.uniregistrymarket.link,United States,1997-05-27,2019-12-16,
---
> Bitsquatting,cmail.com,69.172.201.153,,mx247.in-mx.com,ns1.uniregistrymarket.link,United States,,,
38d35
< Bitsquatting,g-ail.com,,,,,,,,
40c37
< Bitsquatting,gmeil.com,162.222.213.196,,mail.h-email.net,ns1.brainydns.com,United States,2015-06-07,2019-06-02,
---
> Bitsquatting,gmeil.com,95.211.75.25,,mail.h-email.net,ns1.brainydns.com,Netherlands,2015-06-07,2019-06-02,
45d41
< Bitsquatting,gmaml.com,,,,,,,,
52,69c48
< Homoglyph,xn--gil-mla3617a.com,,,,,,,,
< Homoglyph,xn--grnil-twa.com,,,,,,,,
< Homoglyph,xn--gil-m4xu4h.com,,,,,,,,
< Homoglyph,xn--qail-qd5a.com,,,,,,,,
< Homoglyph,xn--mil-ipa2l.com,,,,,,,,
< Homoglyph,qmail.com,,,mx1.qq.com,ns1.qq.com,,1996-07-10,2018-06-07,
< Homoglyph,xn--gma1-xw5a.com,,,,,,,,
< Homoglyph,xn--rrail-72b.com,,,,,,,,
< Homoglyph,xn--mai-bgb77d.com,,,,,,,,
< Homoglyph,xn--mal-wsa6c.com,,,,,,,,
< Homoglyph,xn--gnail-4l1b.com,,,,,,,,
< Homoglyph,xn--gmll-1na.com,,,,,,,,
< Homoglyph,xn--mil-7ra00g.com,,,,,,,,
< Homoglyph,xn--gml-7ub3327a.com,,,,,,,,
< Homoglyph,xn--gnal-svb.com,,,,,,,,
< Homoglyph,gnrail.com,,,,,,,,
< Homoglyph,xn--ail-8tb4976a.com,,,,,,,,
< Homoglyph,xn--gml-jpa4t.com,,,,,,,,
---
> Homoglyph,gmali.com,,,,ns-cloud-d1.googledomains.com,,2004-04-01,2019-11-08,
71,82d49
< Homoglyph,xn--gail-0d5aa.com,,,,,,,,
< Homoglyph,xn--mil-ula2z.com,,,,,,,,
< Homoglyph,xn--gml-3ub8327a.com,,,,,,,,
< Homoglyph,xn--gal-oma7468a.com,,,,,,,,
< Homoglyph,xn--gall-bbc.com,,,,,,,,
< Homoglyph,xn--rnail-v1a.com,,,,,,,,
< Homoglyph,xn--gnnal-7nc.com,,,,,,,,
< Homoglyph,xn--gai-hvb1376a.com,,,,,,,,
< Homoglyph,xn--ga1l-gd5a.com,,,,,,,,
< Homoglyph,xn--gal-3ub7b.com,,,,,,,,
< Homoglyph,xn--gml-oma8319a.com,,,,,,,,
< Homoglyph,xn--gai-jwa6228a.com,,,,,,,,
84,86c51,54
< Homoglyph,xn--ail-whb4337a.com,,,,,,,,
< Homoglyph,xn--grril-5qa.com,,,,,,,,
< Homoglyph,xn--mil-9ka71a.com,,,,,,,,
---
> Homoglyph,xn--mal-sma1x.com,184.168.221.59,,,ns31.domaincontrol.com,United States,2017-12-14,2019-12-15,
> Homoglyph,qma1l.com,45.141.84.99,,mail.qma1l.com,ns1.dns-sshvps.net,,2019-09-02,2019-09-07,
> Homoglyph,qnail.com,23.20.239.12,,,nsg1.namebrightdns.com,United States,,,
> Homoglyph,qmai1.com,45.38.43.130,,,ns27.domaincontrol.com,United States,2019-06-03,2019-06-03,
88,147c56,57
< Homoglyph,xn--gnal-7w5a.com,,,,,,,,
< Homoglyph,xn--gmii-1sa.com,,,,,,,,
< Homoglyph,xn--gal-vta2086a.com,,,,,,,,
< Homoglyph,xn--gil-ela31r.com,,,,,,,,
< Homoglyph,xn--mal-0ma12k.com,,,,,,,,
< Homoglyph,xn--gma-flza.com,,,,,,,,
< Homoglyph,xn--gml-sma3319a.com,,,,,,,,
< Homoglyph,xn--gma-wta9i.com,,,,,,,,
< Homoglyph,xn--gil-ipa3996a.com,,,,,,,,
< Homoglyph,xn--mai-jwa53f.com,,,,,,,,
< Homoglyph,xn--gma-jwa81h.com,,,,,,,,
< Homoglyph,xn--gaii-5c5a.com,,,,,,,,
< Homoglyph,qnnail.com,,,,,,,,
< Homoglyph,xn--gal-qdb71f.com,,,,,,,,
< Homoglyph,xn--gal-3ta23n.com,,,,,,,,
< Homoglyph,xn--mal-kua63m.com,,,,,,,,
< Homoglyph,xn--gma-8uba.com,,,,,,,,
< Homoglyph,xn--gil-qla8868a.com,,,,,,,,
< Homoglyph,xn--mal-0ma66p.com,,,,,,,,
< Homoglyph,xn--mai-jwa52f.com,,,,,,,,
< Homoglyph,xn--qmal-svb.com,,,,,,,,
< Homoglyph,xn--gmii-hoa.com,,,,,,,,
< Homoglyph,xn--ail-gsa4048a.com,,,,,,,,
< Homoglyph,xn--gml-rla96a.com,,,,,,,,
< Homoglyph,xn--qail-gd5a.com,,,,,,,,
< Homoglyph,xn--mil-9oa76o.com,,,,,,,,
< Homoglyph,gmal1.com,54.65.172.3,,,,Japan,,,
< Homoglyph,xn--mal-gsa16n.com,,,,,,,,
< Homoglyph,xn--mal-7ra6h.com,,,,,,,,
< Homoglyph,xn--mal-oma6v.com,,,,,,,,
< Homoglyph,gnnall.com,,,,,,,,
< Homoglyph,xn--grral-fta.com,,,,,,,,
< Homoglyph,xn--gmal-j9b.com,,,,,,,,
< Homoglyph,xn--gml-sma39o.com,,,,,,,,
< Homoglyph,xn--gil-gsb3n.com,,,,,,,,
< Homoglyph,xn--ga1l-5c5a.com,,,,,,,,
< Homoglyph,xn--ga1l-bbc.com,,,,,,,,
< Homoglyph,xn--mal-7ra6f.com,,,,,,,,
< Homoglyph,xn--ail-gsa4938a.com,,,,,,,,
< Homoglyph,xn--grail-17b.com,,,,,,,,
< Homoglyph,xn--mal-sma13k.com,,,,,,,,
< Homoglyph,xn--gnnal-36b.com,,,,,,,,
< Homoglyph,xn--grail-kp1b.com,,,,,,,,
< Homoglyph,xn--gnnal-q4a.com,,,,,,,,
< Homoglyph,xn--mil-qla77k.com,,,,,,,,
< Homoglyph,xn--mall-kqb.com,,,,,,,,
< Homoglyph,xn--mil-9oa2k.com,,,,,,,,
< Homoglyph,xn--gma1-svb.com,,,,,,,,
< Homoglyph,xn--gml-0ma3h.com,,,,,,,,
< Homoglyph,xn--nail-z7b.com,,,,,,,,
< Homoglyph,xn--ail-wsa4938a.com,,,,,,,,
< Homoglyph,xn--gma-jwa8098a.com,,,,,,,,
< Homoglyph,xn--gail-5c5a.com,,,,,,,,
< Homoglyph,xn--gil-9ka81r.com,,,,,,,,
< Homoglyph,xn--gmai-8pa.com,,,,,,,,
< Homoglyph,xn--gml-bpa40p.com,,,,,,,,
< Homoglyph,xn--ail-bgb40e.com,,,,,,,,
< Homoglyph,xn--mil-mla72q.com,,,,,,,,
< Homoglyph,xn--mal-bgb6808a.com,,,,,,,,
< Homoglyph,xn--rnail-h0b.com,,,,,,,,
---
> Homoglyph,grnail.com,23.20.239.12,,,nsg1.namebrightdns.com,United States,,,
> Homoglyph,gna1l.com,,,mx.yandex.net,dns112.ovh.net,,,,
149,233c59,64
< Homoglyph,xn--mai1-ksb.com,,,,,,,,
< Homoglyph,xn--mall-ksb.com,,,,,,,,
< Homoglyph,xn--gml-vla4839a.com,,,,,,,,
< Homoglyph,xn--mal-osa6f.com,,,,,,,,
< Homoglyph,xn--gnail-87a.com,,,,,,,,
< Homoglyph,xn--mal-bgb66d.com,,,,,,,,
< Homoglyph,xn--grail-x7a.com,,,,,,,,
< Homoglyph,xn--gal-3ub7476a.com,,,,,,,,
< Homoglyph,xn--gil-hdb82f.com,,,,,,,,
< Homoglyph,xn--gai-hvb1a.com,,,,,,,,
< Homoglyph,xn--gml-rla97a.com,,,,,,,,
< Homoglyph,xn--gmil-6q5a.com,184.168.221.62,,xngmil6q5a-com0m1b.mail.protection.outlook.com,ns61.domaincontrol.com,United States,2019-07-02,2019-07-02,
< Homoglyph,xn--mil-ipa2j.com,,,,,,,,
< Homoglyph,xn--mal-7ra6019a.com,,,,,,,,
< Homoglyph,xn--mil-qla70a.com,,,,,,,,
